#numAllW:86615035
ESTA,441402
COMO,1618214
ERES,4077
SIDO,167680
TEMA,60534
ESTE,515422
PARA,1633972
SERÁ,36806
AQUÍ,53896
ESTÁ,306619
NAME,366806
CUYO,37328
CASO,97401
AÑOS,380192
ROOM,1526
1997,45930
OTRO,130525
LADO,64066
PAUL,16859
1999,54752
JOAN,5841
2004,87728
ISBN,91718
8415,26
LEMA,4943
CADA,169936
OMPA,4
OJOS,16481
TRES,183085
FOIX,578
1995,42923
7820,113
PALO,4409
AZUL,23393
ROJO,23557
HIZO,84680
PASO,48429
EDAD,59537
CREA,15225
CEDE,1428
FIJA,4801
DIEZ,25750
UNOS,99730
CREÓ,21383
HIJO,88513
NOVA,3890
SÓLO,148491
FOCS,20
ERAN,87287
VIDA,151024
PAÍS,122423
COMÚ,42
CUAL,193451
DÍAS,73594
ANTE,75503
BASE,68298
NADA,41023
1938,9559
RENÉ,3072
DEJÓ,24404
ÉSTE,58397
TUVO,100537
NAZI,4000
BIEN,111535
GRAN,256540
JEFE,39994
SEIS,41036
SEDE,40205
OCHO,24099
VELA,3870
BUEN,26224
ÉSTA,35477
TIPO,98063
ALTA,44914
PICO,9688
AGUA,78247
UNEN,4633
GOZA,2055
SECO,6801
NBSP,113554
TODO,202576
MSNM,5080
BOSC,239
RÍOS,24923
NACE,15621
PASA,27211
CUYA,33261
2008,177781
1998,51347
PERO,475498
TASA,8537
1989,31890
2007,197338
LEER,10697
USOS,10660
CASI,73692
ELLA,112958
USAN,12809
EURO,2111
VÍAS,12752
SOLO,95000
SANT,7722
OBRA,120437
CASA,97189
RIBA,464
VALL,768
OTRA,113269
JAZZ,8511
ROCK,32641
FAMA,14842
2005,117076
2006,170695
MANO,31886
OCIO,2892
ZONA,107582
COTA,2003
2160,111
1960,18046
SALA,22176
LIGA,34720
COPA,28769
FASE,24877
CLUB,79491
HACE,115617
2010,73060
ÁREA,55163
JUAN,88804
JOSÉ,84095
1985,27200
1776,1352
1816,2102
1835,2543
1852,2849
INCA,3809
IDEA,34605
BAJO,156594
SINO,67456
GANÓ,34421
1810,3855
1824,2496
ALTO,52425
PERÚ,27212
ACTA,5734
1820,3245
1861,3257
1825,2682
1828,2129
DURÓ,7876
TRAS,176842
PUSO,16288
FIJÓ,1847
1884,3530
1869,3065
2001,63439
1930,12245
1974,18831
PLUS,3284
1870,4673
1975,20680
1400,1345
1868,3593
1874,3129
1880,5002
1886,3665
1898,4865
1904,5425
1916,6152
1922,7064
1928,8551
TODA,81250
1929,8527
UNIÓ,12756
TOMÓ,20685
1966,15660
1973,20043
HUBO,23011
1984,26286
ESAS,18134
FUGA,3693
PESO,22504
VOTO,19805
PARO,2018
RUTA,22807
VOTA,972
ELLO,58878
DURE,384
DURA,9443
SIDE,2908
CABO,45249
1987,28698
DEBE,76360
1992,37240
LUIS,46792
CRUZ,34914
MIDE,7787
ISLA,64238
SECA,4024
VERÁ,1809
PESE,15681
ALBA,5022
BAÑA,571
ALLÍ,53639
ESTO,130397
DURO,7991
FLOR,8272
AVES,13803
PUMA,960
RICA,14575
BCRA,39
2009,151562
JUEZ,8771
2000,73465
TOMA,27583
2002,64040
2003,69983
OSDE,5
POCO,108454
BAJA,32323
PASÓ,40837
MAYO,63432
EJES,3464
SOJA,1051
MAÍZ,5568
1991,35267
AGRO,652
POLO,5301
1996,45978
ALGO,58731
INEC,76
1993,37232
CAFÉ,13628
VINO,14510
RAÍZ,13123
1990,38316
LUNA,16041
LAGO,17391
1963,13918
1977,20041
HORA,24004
AIRE,31961
PAGO,8412
1500,4092
1150,559
DOCE,12959
URBE,1156
1983,25374
EÑOS,87
NORD,1468
PUES,65655
CERO,8067
CRÍA,4617
DADO,40238
1980,29022
1970,23500
NATS,56
1939,11757
BOTH,3005
ONDA,7147
NOTA,18489
AGRI,99
APTO,1307
CAZA,11977
DEJA,22324
JOSE,18759
DIAZ,2674
ROMA,24124
MODO,53225
AJOS,356
1000,7573
1300,1551
LEVE,1891
COLL,1474
8317,44
1836,2415
1765,901
1795,1421
1785,1156
RUSO,13956
1855,2847
1845,2803
1849,2402
1863,3210
ARAR,142
ÚTIL,9670
GIRA,26033
REJA,847
CAMA,3802
TIRO,7185
CAPA,10190
TAPA,2784
BOCA,13149
SALE,15344
DAÑO,8471
TUBO,4989
PAJA,2018
HOJA,6442
PALA,1019
FILO,1832
VEAN,1072
WEST,7033
1964,15298
ENGL,533
FROM,21780
YORK,33980
ATEO,387
DIOS,39621
DÍEZ,1301
8164,197
ZETA,1014
1621,677
1662,582
PURA,4384
MERA,2099
TABÚ,529
HAYA,22648
RARO,3704
2937,45
1994,40563
0500,42
REAL,73864
COSA,19587
RASA,344
AFÁN,1797
ESOS,25042
5309,37
1914,8146
DUDA,15635
BOOK,5180
YEAR,2970
DANS,2768
CREO,33611
CREE,18963
MAPA,10232
1819,2171
TRAD,2214
SANA,1197
GAYA,343
1867,3302
1871,3263
POST,7487
1894,3803
0876,8
7844,99
8460,118
1969,17642
BITS,6373
1967,16798
1986,27974
CÓMO,25802
BELL,4341
USAR,26582
ANSI,301
1968,17955
CLON,1597
ECMA,55
1965,15214
1972,18781
1345,300
LINE,4864
FEED,345
TEXT,2368
MARK,7135
0011,60
MIME,289
TYPE,1930
META,6031
SOLA,18519
BYTE,686
8859,102
CODE,27061
FILE,3749
ZERO,3304
ARTE,56014
ARCH,747
ZEVI,15
DICE,58813
BASA,11027
ALLÁ,15221
DELL,2149
1803,1564
VERS,411
DEBO,1824
ACTO,18198
NUCE,9
DOME,607
DADA,11425
ORIA,428
1374,250
1615,770
XVII,12812
ODIO,3918
NIÑA,9664
SUYO,5896
1949,10052
NIÑO,24237
1976,21071
ABEL,2146
RAMA,10389
LOCO,4431
HTTP,73526
HTML,15478
HOYO,1208
TIME,11519
MASA,16409
1988,29430
AUTO,8045
SABE,22380
NULO,1710
ROTA,1872
SIGA,1922
POCA,9924
AZAR,2609
CAOS,3875
3500,612
NEWS,5852
1650,1043
JUGO,2122
WALD,220
TELA,3826
GAMA,6006
1800,3410
FRAY,5941
AUGE,5144
PUDO,28461
CUÁL,6597
PIEL,12671
ECHA,1096
SITE,3701
CAUSA,37387
ESTÁN,105234
CREAR,34437
OTROS,254584
HAYAN,6666
PULSA,393
SOBRE,404180
TABLA,16310
LUEGO,128068
NUEVA,115426
LUGAR,170982
HACES,1855
MISMO,210855
SERÁN,11831
ESTOS,132034
ENTRE,557274
MEDIA,44641
NIVEL,71860
NORTE,123954
SIETE,29766
TOTAL,73117
DATOS,59505
TIENE,273095
MUCHO,72681
POBRE,6907
DESDE,386989
DARRA,25
OTRAS,156099
HABÍA,187567
VALLE,35344
ENDOR,178
PRESS,26277
ANDOR,48
MORAN,488
JOSEP,3752
MARTÍ,2110
DONDE,333922
ARMAS,34109
UNITA,230
VISTA,36894
URGEL,761
PALOS,2664
GULES,1642
SEGÚN,130293
SEÑAL,13832
HIMNO,6898
LETRA,18257
LOSAS,539
PARTE,348214
HACIA,139777
ZONAS,39428
TENER,73216
CONDE,24163
TODOS,175769
CEDIÓ,2937
QUIEN,134323
PODER,94287
TARDE,77561
FIRMA,23684
SEÑOR,26450
PODÍA,24288
FIRMÓ,10217
AMBAS,28146
CASAS,24183
HACÍA,16207
PAGAR,7789
GRUPO,179519
CARGO,55592
SIGLO,117228
HASTA,366128
OCUPÓ,11624
LUCHA,32138
MENOS,93694
VIEJA,8254
ÚNICO,49281
SALVO,11930
BARÓN,3743
NUEVE,15761
BORIS,1422
TARDÓ,1676
AYUDA,40837
TRONO,15065
RINDE,1397
CIVIL,31869
PASAR,24399
ENVIÓ,10801
TANTO,138383
ENTRÓ,15527
FECHA,44785
RECAE,1005
JEFES,7301
TRATA,50552
MIXTA,2294
VALLS,664
JUZGA,445
LOCAL,41440
MAYOR,177032
MENOR,44344
ORDEN,60545
SALUD,26408
PICOS,3202
CLIMA,22102
FRÍAS,2643
NIEVE,5580
CERCA,66577
ENTRA,12112
PISOS,6203
MASAS,5772
AMBOS,59366
ANUAL,13761
MEDIO,86455
ACABA,8373
LAGOS,6546
ÉPOCA,89340
FALTA,30561
PUEDE,263209
TOMAN,5199
JUNIO,54814
JUNTO,145820
MUNDO,135727
HIJOS,42082
MUJER,46424
MITAD,32397
PESAR,61679
SUELE,28335
OIRSE,30
HABLA,22275
FAVOR,46384
SABEN,2910
OCUPA,16029
TRAJO,4203
BAJAS,12912
UNIÓN,38608
PARÍS,25501
DEJAR,18543
ESTAS,97335
PLENO,7615
FUERA,61822
FACTO,2565
ÚNICA,38306
USABA,4291
VALOR,34887
LEGAL,11156
EMITE,5201
EUROS,5844
LÍNEA,70964
APOYO,37362
CURSO,19535
OBRAS,98674
PUNTO,79588
RADIO,43926
FUNDÓ,17977
CANAL,36853
MÓVIL,5537
RELÉS,129
AD100,1
AD200,2
AD300,1
AD400,1
AD500,1
AD600,1
AD700,2
METRO,13083
POCAS,14627
LIBRO,70453
FITER,9
COPIA,7432
POETA,20556
CITAR,3906
JULIO,64813
CANTO,11194
HABER,67109
HECHO,99105
ABRIR,7048
RIGEN,894
CICLO,13200
MESES,46233
HONOR,35867
ESQUÍ,2298
FINAL,116659
JUEGA,20403
RONDA,16599
NUNCA,48086
ESTAR,46293
VIVIÓ,14420
ANTES,137640
MOTOS,1060
LIBRE,36879
VÉASE,134610
ALTOS,12359
BANCO,16359
ISLAS,30105
OESTE,56973
AIRES,41516
COMÚN,45576
PRATA,119
LLEGÓ,54151
DULCE,10611
POEMA,9616
PLATA,26180
TRABA,478
ARTES,25690
LLEVÓ,28371
INCAS,1716
BASES,13354
SURGE,7004
GESTA,1109
MEJOR,119682
FÁCIL,13884
MANDO,33068
HÉROE,7901
ÉLITE,3073
DEMÁS,32531
FRASE,13177
BANDA,107449
FOCOS,1132
OPUSO,2723
LARGA,22152
SERIE,134918
PONER,20870
BREVE,14697
ETAPA,31662
ROSAS,5975
DEBIÓ,10796
MITRE,2004
VERDE,24062
ÉXITO,59827
ORTIZ,4710
ULTRA,2684
FONDO,25538
ACTOS,14374
GOLPE,13636
CONTÓ,8122
PERÓN,2535
NUEVO,135538
VACÍO,6414
GUIDO,1783
QUEDO,2354
ILLIA,197
SERÍA,58366
CIFRA,6871
CASOS,41459
LLEGA,28957
GRAVE,9413
BORDE,7889
SANTA,77134
LAUDO,327
CHILE,44864
HACER,89000
FALLO,3614
DEUDA,4244
DANDO,18331
DICHO,44408
TODAS,93038
FORMÓ,21971
TEXTO,33341
LEYES,17564
DOBLE,22655
VOTOS,23894
DURAN,1880
REÚNE,5076
LISTA,64367
PONGA,1715
PENAL,5938
CINCO,58743
TERNA,393
BUENA,35041
EXTRA,7028
SITIO,37184
CORTE,27814
LLEVA,37526
EXIGE,3151
RURAL,13493
FORMA,210652
ENERO,54152
AGUAS,27898
LAZOS,2839
NEGRO,29377
MARZO,53521
CARTA,19491
